TIME,AUT,BEL,CZE
1990,19473.50451,18687.89145,12689.40152
1991,20618.03694,19599.30247,11655.62003
1992,21293.74118,20269.73153,11850.36547
1993,21733.35372,20471.13838,12123.72874
1994,22643.34432,21518.98195,12736.02198
1995,23698.62927,22447.55031,13855.63267
1996,24561.1605,22744.39956,14689.90856
1997,25427.22674,23733.31705,14825.65829
1998,26676.2465,24370.04646,14977.57594
1999,27606.48424,25441.89139,15397.92282
2000,29380.03111,27789.05351,16210.1377
2001,29707.46226,28791.40584,17610.74958
2002,31178.05144,30281.66799,18245.66901
2003,,30934.59859,19524.25779
2004,33784.43265,32063.6738,20912.04591
2005,35024.55748,33176.68088,22045.99888
2006,37659.84067,35253.92329,23855.58792
2007,39436.42013,36794.2342,
2008,41316.02264,37883.23342,27853.5499
2009,40929.33675,37753.27627,27637.15866
2010,42020.55064,39837.99795,27768.00435
2011,44469.20964,40943.34348,28999.75476
2012,46477.65508,42290.47767,29258.90485
2013,47936.67796,43672.71229,30828.52641
2014,48813.53441,44929.93333,
2015,49942.05629,46201.68589,33909.30924
2016,52665.08746,48599.20268,36101.2856
2017,54188.36067,50442.94752,38842.89627
2018,56956.11056,,41157.37041
2019,59719.33165,55800.82599,44223.08816
2020,57253.30056,54539.03253,42813.74134
2021,59976.26467,58806.11925,44801.66688
